episode_id;part_idx;scene_idx;speaker;text;broll_query;title;template_url;;;;
ep_pomegranate;1;1;Mandalina;Мужчины, шестьдесят восемь процентов моих пациентов после пятидесяти жалуются на слабую эрекцию.;;ep_pomegranate_p1;https://app.heygen.com/create-v4/draft?template_id=aa3dfc0762174de3b09462ae714a0c00&private=1;;;;
ep_pomegranate;1;2;Mandalina;И знаете что? Большинство из них пьют совершенно не то.;worried man looking anxious concerned expression;ep_pomegranate_p1;;;;;
ep_pomegranate;1;3;Mandalina;Этот напиток улучшает кровоток лучше, чем некоторые таблетки. И он на кухне.;pomegranate juice pouring glass close up macro;ep_pomegranate_p1;;;;;
ep_pomegranate;1;4;Mandalina;Я Мандалина Волкова, уролог. Давайте без стеснения говорить о важном для вас.;;ep_pomegranate_p1;;;;;
ep_pomegranate;1;5;Mandalina;Сначала объясню, почему вообще возникает эта проблема после пятидесяти лет у мужчин.;;ep_pomegranate_p1;;;;;
ep_pomegranate;1;6;Mandalina;Эрекция — это про кровоток. Как кровь наполняет половой орган быстро и качественно.;blood flow circulation medical animation;ep_pomegranate_p1;;;;;
ep_pomegranate;1;7;Mandalina;Представьте садовый шланг. Вода течёт свободно — всё работает отлично, без проблем.;;ep_pomegranate_p1;;;;;
ep_pomegranate;1;8;Mandalina;Теперь представьте: шланг изнутри покрылся налётом. Вода течёт очень медленно, еле-еле.;clogged artery plaque buildup medical visualization;ep_pomegranate_p1;;;;;
ep_pomegranate;1;9;Mandalina;Вот именно что происходит с вашими сосудами после пятидесяти лет. Они сужаются.;;ep_pomegranate_p1;;;;;
ep_pomegranate;1;10;Mandalina;Сосуды теряют эластичность. На стенках откладывается холестерин. Кровоток замедляется сильно.;blood vessel restriction spasm medical 3d;ep_pomegranate_p1;;;;;
ep_pomegranate;1;11;Mandalina;И первое, где вы это чувствуете на себе — это интимная жизнь.;tired middle aged man rubbing eyes exhausted;ep_pomegranate_p1;;;;;
ep_pomegranate;1;12;Mandalina;Но есть одно вещество, которое расширяет эти сосуды совершенно естественным путём.;;ep_pomegranate_p1;;;;;
