episode_id,part_idx,scene_idx,text,speaker,title,template_url
ep_sauna_danger,1,1,Мужики знаете что происходит с вашими яйцами при девяноста градусах в бане? Они варятся буквально как куриные в кипятке.,Batya,ep_sauna_danger_p1,https://app.heygen.com/create-v4/draft?template_id=8cfc83a22e0e4effa8d12d2632be1872&private=1
ep_sauna_danger,1,2,И сегодня я покажу почему баня это не здоровье а прямой путь к импотенции. Без всяких там сказок.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,3,Смотрите вот термометр показывает девяносто градусов. Как вы думаете что творится с вашими органами при такой жаре внутри тела?,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,4,Ваши тестикулы рассчитаны работать при тридцати четырех градусах максимум. Не зря они висят снаружи а не запрятаны внутрь живота.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,5,Природа специально вынесла их за пределы тела чтобы они были холоднее на три градуса чем всё остальное в организме вашем.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,6,А вы берете и жаритесь при девяноста градусах в парилке. Это как двигатель перегреть намеренно. Он потом нормально не заведется.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,7,Первое что страдает от перегрева это сперматогенез. Процесс производства сперматозоидов. Он просто останавливается при высокой температуре полностью.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,8,Исследования показывают четко: один заход в сауну на тридцать минут и качество спермы падает на сорок процентов сразу же.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,9,Сорок процентов потери мужики! И восстанавливается это дело не за день не за два а долгими месяцами терпения.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,10,Вы сейчас думаете про себя: ну и ладно мне дети больше не нужны уже. Но это не только про детей.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,11,Потому что те же самые клетки которые делают сперматозоиды они же производят тестостерон ваш. Клетки Лейдига называются в медицине.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,12,И когда вы перегреваете яйца в бане эти клетки Лейдига тоже страдают сильно. Тестостерон падает на тридцать сорок процентов.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,13,Вот вам цифры из университета Хельсинки: тридцать минут при восьмидесяти градусах минус сорок процентов тестостерона в крови немедленно.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,14,Восстановление занимает от двух до пяти дней в среднем. Но если вы ходите в баню два раза в неделю постоянно?,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,15,Тогда ваш тестостерон живет в постоянной яме глубокой. Организм просто не успевает восстановиться между заходами в парилку вашу.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,16,А низкий тестостерон это что значит для мужика после пятидесяти лет? Это усталость либидо ноль мышцы слабеют жир растет.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,17,И вы думаете что это возраст такой пришел неизбежный. А на самом деле вы сами себя угробили баней еженедельной.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,18,Но это еще не самое страшное что баня делает с вами мужики. Сейчас про сосуды расскажу и сердце ваше.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,19,Когда вы заходите в сауну девяносто градусов сосуды резко расширяются от жара. Кровь приливает к коже сильно.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,20,Сердце начинает биться как сумасшедшее до ста сорока ударов в минуту. Это как бег на максимальной скорости для организма.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,21,А потом вы выходите из бани и прыгаете в холодную воду или снег. Сосуды схлопываются мгновенно обратно резко.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,22,Представьте садовый шланг: сначала раздули его максимально потом сжали сильно. Так несколько раз подряд за вечер делаете с сосудами.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,23,Молодые сосуды это выдержат может быть. А после пятидесяти ваши сосуды уже не резиновые совсем. Они жесткие хрупкие.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,24,И каждый такой перепад температуры это микротравмы стенок сосудов. Они трескаются внутри незаметно для вас сначала медленно.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,25,А где микротравмы там потом холестерин откладывается быстро. Атеросклероз начинается. Бляшки растут в артериях постепенно годами.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,26,Плюс резкий перепад давления это огромный стресс для сердца вашего. Особенно если у вас уже есть гипертония скрытая.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,27,Статистика из Финляндии показывает: мужчины которые ходят в сауну больше четырех раз в неделю умирают от инфарктов чаще.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,28,Чаще на двадцать семь процентов чем те кто ходит раз в неделю максимум. Двадцать семь процентов разница большая мужики.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,29,И это не я придумал это финны сами себя изучили. А они в банях понимают больше всех на планете точно.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,30,Теперь про кортизол гормон стресса. Вы думаете баня расслабляет? Да для головы может быть. Но для тела это жесткий стресс.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,31,Организм воспринимает высокую температуру как угрозу жизни. И выбрасывает кортизол в кровь защитный. Это нормальная реакция выживания древняя.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,32,После тридцати минут в сауне уровень кортизола подскакивает в два раза минимум. И держится повышенным несколько часов потом еще.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,33,А кортизол это прямой враг тестостерона номер один. Когда кортизол высокий тестостерон падает автоматически всегда. Природа так устроила механизм.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,34,Логика простая: если организм в стрессе выживает сейчас ему не до размножения. Поэтому половые гормоны отключаются временно экономии ради.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,35,Плюс хронически высокий кортизол это разрушение мышц ваших. Он буквально сжигает мышечную ткань для получения энергии быстрой в крови.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,36,Вот почему мужики которые фанатеют от бани часто выглядят дряблыми. Не толстые но мышц нет совсем. Кортизол их съел.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,37,И еще момент важный про обезвоживание. В бане вы теряете от пол-литра до литра жидкости за один заход.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,38,Кровь сгущается сильно от потери воды. Сердцу тяжелее прокачивать густую кровь по сосудам. Давление растет. Риск тромбов увеличивается резко.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,39,А густая кровь это плохое питание для всех органов включая ваши яйца. Кислорода меньше приходит. Питательных веществ меньше тоже.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,40,Клетки Лейдига которые делают тестостерон начинают работать хуже. Недополучают кислород и материалы для синтеза гормона нужные им постоянно.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,41,Так что же делать теперь мужики? Совсем баню бросить навсегда? Не обязательно но правила надо знать железные.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,42,Правило первое: температура не выше семидесяти градусов. Семьдесят это максимум безопасный для тестостерона. Не девяносто не сто.,Batya,ep_sauna_danger_p1,
ep_sauna_danger,1,43,Правило второе: время не больше пятнадцати минут за один заход. Не тридцать не сорок. Пятнадцать минут максимум один раз.,Batya,ep_sauna_danger_p1,
